sent_id,d-unit,sentence,Annotator 1,comments,Annotator 2,FL corrections,justification / alternatives / notes
20004015,heavily,"It [invests P] heavily in dollar-denominated securities overseas and is currently waiving management fees, which boosts its yield.",degree,,Degree,,
20004016,average,"The average seven-day simple [yield P] of the 400 funds was 8.12%, down from 8.14%.",description,"""take the yields of X days, taking the average, ..."" additional calculation --> description",Description,,
20004016,simple,"The average seven-day simple [yield P] of the 400 funds was 8.12%, down from 8.14%.",description,,Description,,
20004017,simple,The 30-day simple [yield P] fell to an average 8.19% from 8.22%; the 30-day compound yield slid to an average 8.53% from 8.56%.,description,,Description,,
20008001,n't,The federal government suspended sales of U.S. savings bonds because Congress hasn't [lifted P] the ceiling on government debt.,negation,,Negation,,
20008002,n't,"Until Congress acts, the government [has S...] n't any [authority ...S] to issue new debt obligations of any kind, the Treasury said.",negation,,Negation,,
20008002,of any kind,"Until Congress acts, the government hasn't any authority to issue new debt [obligations P] of any kind, the Treasury said.",description,,Description +Degree,,"Degree for ""any"""
20008002,new,"Until Congress acts, the government hasn't any authority to issue new debt [obligations P] of any kind, the Treasury said.",description,,Aspectual,,
20008002,any,"Until Congress acts, the government [has S...] n't any [authority ...S] to issue new debt obligations of any kind, the Treasury said.",quantity,has zero authority,Degree,,
20008005,n't,"The House has voted to raise the ceiling to $3.1 trillion, but the Senate isn't expected to [act P] until next week at the earliest.",negation,,Negation,,
20008006,n't,The Treasury said the U.S. will default on Nov. 9 if Congress doesn't [act P] by then.,negation,,Negation,,
20008006,. by then,The Treasury said the U.S. will default on Nov. 9 if Congress doesn't [act P] by then.,aspectual,,Aspectual,,
20009003,general,"Previously, Mr. Vitulli, 43 years old, was general marketing [manager P] of Chrysler Corp.'s Chrysler division.",description,,Description,,
20010001,typically,"When it's time for their biannual powwow, the nation's manufacturing titans typically [jet off P] to the sunny confines of resort towns like Boca Raton and Hot Springs.",description,,Frequency,,
20010002,Not,Not [this year T]. ,negation,,Negation,,
20010007,For starters,"For starters, the executives [joined P] Mayor William H. Hudnut III for an evening of the Indianapolis Symphony Orchestra and a guest pianist-comedian Victor Borge.",description,? similar to 'for example' but are these more like linkers?,Possibility,should be G,
20010010,n't,"The governor couldn't [make it P], so the lieutenant governor welcomed the special guests.",negation,,Negation,,
20010010,could,"The governor couldn't [make it P], so the lieutenant governor welcomed the special guests.",possibility,,Possibility,,
20010011,buffet,"A buffet [breakfast P] was held in the museum, where food and drinks are banned to everyday visitors.",description,,Description,,
20010012,exhibition,"Then, in the guests' honor, the speedway hauled out four drivers, crews and even the official Indianapolis 500 announcer for a 10-lap exhibition [race P].",description,,Description,,
20010013,like schoolboys,"After the race, Fortune 500 executives [drooled P] like schoolboys over the cars and drivers.",description,,Comparative,should be A?,
20010015,a few,"Back downtown, the execs squeezed in a few [meetings P] at the hotel before boarding the buses again.",quantity,,Quantity,,
20010015,again,"Back downtown, the execs squeezed in a few meetings at the hotel before [boarding P] the buses again.",aspectual/frequency,previously 'again' was annotated as frequency,Frequency,,
20010017,Under the stars and moons of the renovated Indiana Roof ballroom,"Under the stars and moons of the renovated Indiana Roof ballroom, nine of the hottest chefs in town [fed P] them Indiana duckling mousseline, lobster consomme, veal mignon and chocolate terrine with a raspberry sauce.",description,,Location,should be A,
20010019,red-carpet,More than a few CEOs say the red-carpet [treatment P] tempts them to return to a heartland city for future meetings.,description,,Description,,
20011002,another,"Preliminary tallies by the Trade and Industry Ministry [showed P] another trade deficit in October, the fifth monthly setback this year, casting a cloud on South Korea's export-oriented economy.",aspectual/frequency,,Description,,
20011002,in October,"Preliminary tallies by the Trade and Industry Ministry [showed P] another trade deficit in October, the fifth monthly setback this year, casting a cloud on South Korea's export-oriented economy.",aspectual,not Time?,Aspectual,should be T,
20011002,fifth,"Preliminary tallies by the Trade and Industry Ministry showed another trade deficit in October, the fifth monthly [setback P] this year, casting a cloud on South Korea's export-oriented economy.",aspectual,?arguably description,Frequency,,
20011004,sluggish,"South Korea's economic boom, which began in 1986, stopped this year because of prolonged labor disputes, trade conflicts and sluggish [exports P].",description,,Description,,
20011004,began,"South Korea's economic [boom P], which began in 1986, stopped this year because of prolonged labor disputes, trade conflicts and sluggish exports.",aspectual,can we say 'begin' 'continue' are generally aspectual?,Aspectual,,
20011006,gloomy,"Despite the gloomy [forecast P], South Korea has recorded a trade surplus of $71 million so far this year.",description,,Description,,
20011007,accumulated,"From January to October, the nation's accumulated [exports P] increased 4% from the same period last year to $50.45 billion.",description,this is an example of verb as D,Quantity,,"similar to ""average"" above? Description?"
20011007,4 %,"From January to October, the nation's accumulated exports [increased P] 4% from the same period last year to $50.45 billion.",quantity,,Degree,,
20012002,second,"The new ad plan from Newsweek, a unit of the Washington Post Co., is the second incentive plan the magazine has [offered P] advertisers in three years.",aspectual,similar to the 'fifth' case,Frequency,,
20012004,in January.,"Alan Spoon, recently named Newsweek president, said Newsweek's ad rates would [increase P] 5% in January.",aspectual,not Time?,Aspectual,should be T,
20012004,recently,"Alan Spoon, recently [named P] Newsweek president, said Newsweek's ad rates would increase 5% in January.",aspectual,,Aspectual,,
20012004,5 %,"Alan Spoon, recently named Newsweek president, said Newsweek's ad rates would [increase P] 5% in January.",quantity,,Degree,,
