passage_id,node_id,numChildren,label,Edge_id,parent_type,Parent_id,parent_edge_id,Terminal,Text,Original Refinement,Refinement2,Comments,Possible Foundational layer disputes,text_reduced,text_reduced1
302,1.23,1,D,1.21->1.23,FN,1.21,1.5->1.21,still,[A nature] [D still] [P keeps] [A [E ichthyological] [C secrets] ] [A [R from] [C us] ],aspectual,aspectual,,,[A][D][P][A][A],ADPAA
303,1.42,1,D,1.40->1.42,FN,1.4,1.35->1.40,already,[A IMPLICIT] [A* creatures] [D already] [P cataloged],aspectual,aspectual,,,[A][A*][D][P],AA*DP
308,1.46,1,D,1.26->1.46,FN,1.26,1.6->1.26,still,"[A which] ... [F is] [D still] [S possible] [U !] [U ""]",aspectual,aspectual,,,[A][F][D][S][U][U,ADS
310,1.274,1,D,1.268->1.274,FN,1.268,1.262->1.268,almost,[A [E the] [E land] [C masses] ] [P undergo] [D almost] [A [E continuous] [C alteration] ],aspectual,aspectual,,,[A][P][D][A],APDA
318,1.38,1,D,1.30->1.38,FN,1.3,1.12->1.30,will,[A [E the] [C government] [E [R of] [E the] [C Union] ] ] [D will] [F be] [D pleased] [F to] [P regard] [A you] [A [R as] [A [C France] [R 's] ] [P representative] ] [A [A IMPLICIT] [R in] [P [E this] [C undertaking] ] ],aspectual,,,should be F,[A][D][F][D][F][P][A][A][A],ADDPAAA
814,1.64,2,D,1.61->1.64,FN,1.61,1.1->1.61,[R at] [C last],"[A I] [P understood] [D [R at] [C last] ] [A [R that] [A [C [A* I] [S [E my] ... [C vocation] ] [D true] ] [U ,] [C [A* I] [S [E my] ... [C purpose] ] [D sole] ... [A [R in] [C life] ] ] ] [U ,] [S was] [A [R to] [H [P hunt down] [A [E this] [E disturbing] [C monster] ] ] [L and] [H [A* I] [P rid] [A [E the] [C world] ] [A [R of] [C it] [U .] ] ] ] ]",aspectual,aspectual,,,[A][P][D][A],APDA
819,1.59,1,D,1.58->1.59,FN,1.58,1.1->1.58,habitually,[A* Conseil] [D habitually] [P hardworking],aspectual,aspectual,,,[A*][D][P],A*DP
826,1.205,1,D,1.201->1.205,FN,1.201,1.1->1.201,will,[A [E The] [C hotel] ] [D will] [S keep] [A them] [A [R for] [C us] ],aspectual,,,,[A][D][S][A][A],ADSAA
835,1.87,1,D,1.86->1.87,FN,1.86,1.1->1.86,still,[A* speed] [D still] [D not] [S enough],aspectual,aspectual,,,[A*][D][D][S],A*DDS
840,1.39,1,D,1.32->1.39,FN,1.32,1.29->1.32,just,[A IMPLICIT] [A* seas] [R where] [A [E the] [C animal] ] [F had] [D just] [F been] [P sighted],aspectual,aspectual,,,[A][A*][R][A][F][D][F][P],AA*ADP
845,1.12,1,D,1.2->1.12,FN,1.2,1.1->1.2,still,[A [E The] [C escort] [E [R of] [C [C boats] [N and] [C tenders] ] ] ] [D still] [P followed] [A [E the] [C frigate] ],aspectual,aspectual,,,[A][D][P][A],ADPA
882,1.73,1,D,1.71->1.73,FN,1.71,1.67->1.71,first,[A* man] [R who] [D first] [P sighted] [A [E the] [C animal] ],aspectual,aspectual,,,[A*][R][D][P][A],A*DPA
885,1.22,1,D,1.18->1.22,FN,1.18,1.1->1.18,still,[A it] [F had] [S better] [D still],aspectual,aspectual,,,[A][F][S][D],ASD
889,1.98,1,D,1.95->1.98,FN,1.95,1.1->1.95,already,[A they] [S were] [D already] [A [E a] [C line] [E [R of] [E [S bold] [A* fishermen] ] [C fishermen] ] ] [D [R back] [R in] [E the] [C days] [E [A* days] [R when] [A [E this] [C town] ] [T still] [S belonged] [A [R to] [C France] [U .] ] ] ],aspectual,aspectual,,,[A][S][D][A][D],ASDAD
889,1.107,5,D,1.95->1.107,FN,1.95,1.1->1.95,[R back] [R in] [E the] [C days] [E [A* days] [R when] [A [E this] [C town] ] [T still] [S belonged] [A [R to] [C France] [U .] ] ],[A they] [S were] [D already] [A [E a] [C line] [E [R of] [E [S bold] [A* fishermen] ] [C fishermen] ] ] [D [R back] [R in] [E the] [C days] [E [A* days] [R when] [A [E this] [C town] ] [T still] [S belonged] [A [R to] [C France] [U .] ] ] ],aspectual,aspectual,,,[A][S][D][A][D],ASDAD
894,1.95,1,D,1.93->1.95,FN,1.93,1.91->1.93,just,[A Ned] [D just] [D let] [A me] [P talk],aspectual,aspectual,,,[A][D][D][A][P],ADDAP
899,1.216,1,D,1.213->1.216,FN,1.213,1.145->1.213,still,[A it] [D would] [D still] [F be] [D utterly] [S harmless] [A [R to] [C ships] [E [R like] [C [C [E the] [C Scotia] ] [N or] [C [E the] [C Abraham Lincoln] ] ] ] ],aspectual,aspectual,,,[A][D][D][F][D][S][A],ADDDSA
905,1.337,1,D,1.334->1.337,FN,1.334,1.224->1.334,just,[A you] [D 'd] [D just] [F been] [P yanked] [A [R from] [R between] [E the] [C plates] [E [R of] [E a] [E hydraulic] [C press] ] ],aspectual,aspectual,,,[A][D][D][F][P][A],ADDPA
907,1.118,1,D,1.117->1.118,FN,1.117,1.109->1.117,still,[A* Canadian] [D still] [D not] [D willing] [F to] [P give in],aspectual,aspectual,,,[A*][D][D][D][F][P],A*DDDP
973,1.91,1,D,1.80->1.91,FN,1.8,1.1->1.80,finally,[T [E the] [E next] [C day] ] [A [E [E our] [C frigate] [R 's] ] [C propeller] ] [D finally] [P churned] [A [E the] [C waters] [E [R of] [E the] [C Pacific] [U .] ] ],aspectual,aspectual,,,[T][A][D][P][A],ADPA
979,1.4,1,D,1.2->1.4,FN,1.2,1.1->1.2,still,[A Ned Land] [D still] [P kept up] [A [E the] [E most] [E tenacious] [C [A* Ned Land] [P skepticism] ] ],aspectual,aspectual,,,[A][D][P][A],ADPA
980,1.91,1,D,1.86->1.91,FN,1.86,1.3->1.86,already,[T [E two] [C months] ] [F have] [D already] [P gone by] [D [R since] [C then] ],aspectual,aspectual,,,[T][F][D][P][D],DPD
980,1.93,2,D,1.86->1.93,FN,1.86,1.3->1.86,[R since] [C then],[T [E two] [C months] ] [F have] [D already] [P gone by] [D [R since] [C then] ],aspectual,aspectual,,,[T][F][D][P][D],DPD
980,1.117,2,D,1.115->1.117,FN,1.115,1.3->1.115,[E too] [C long],[A* it] [P hanging out] [D [E too] [C long] ] [A [R in] [E the] [E same] [C waterways] ],aspectual,aspectual,,,[A*][P][D][A],A*PDA
980,1.21,1,D,1.207->1.210,FN,1.207,1.3->1.207,already,"[A it] [F 's] [D already] [D long] [P gone] [U !] [U ""]",aspectual,aspectual,,,[A][F][D][D][P][U][U,ADDP
980,1.211,1,D,1.207->1.211,FN,1.207,1.3->1.207,long,"[A it] [F 's] [D already] [D long] [P gone] [U !] [U ""]",aspectual,aspectual,,,[A][F][D][D][P][U][U,ADDP
981,1.43,1,D,1.41->1.43,FN,1.41,1.1->1.41,still,[A everyone] [D still] [D felt] [P confident] [A [R of] [C [A IMPLICIT] [P success] ] ],aspectual,aspectual,,,[A][D][D][P][A],ADDPA
983,1.5,1,D,1.2->1.5,FN,1.2,1.1->1.2,finally,[A We] [S were] [D finally] [A [E [R in] [E the] [C area] [R of] ] [E [E the] [C monster] [R 's] ] [E latest] [C antics] ],aspectual,aspectual,,,[A][S][D][A],ASDA
986,1.95,1,D,1.77->1.95,FN,1.77,1.1->1.77,ultimately,[G for certain] ... [A [E the] [C frigate] ] [D would] [D ultimately] [F have] [P put back] [A [R to] [E that] [C cape] [E [R in] [E the] [C south] [U .] ] ],aspectual,aspectual,,,[G][A][D][D][F][P][A],ADDPA
990,1.144,1,D,1.137->1.144,FN,1.137,1.1->1.137,still,[A IMPLICIT] [A [E this] [E [S underwater] [A* mystery] ] [C mystery] ] [D still] [P unsolved] [U .],aspectual,aspectual,,,[A][A][D][P][U,AADP
992,1.55,1,D,1.50->1.55,FN,1.5,1.1->1.50,just,[T [E Eight] [C o'clock] ] [F had] [D just] [P struck],aspectual,aspectual,,,[T][F][D][P],DP
996,1.9,1,D,1.6->1.9,FN,1.6,1.3->1.6,will,[A IMPLICIT] [G master] [D will] [P permit] [A [A IMPLICIT] [P my saying so] ],aspectual,,,should be F,[A][G][D][P][A],ADPA
997,1.17,1,D,1.167->1.170,FN,1.167,1.164->1.167,will,[R that] [A people] [D will] [T soon] [F be] [P poking fun] [A [R at] [C us] ],aspectual,,,should be F,[R][A][D][T][F][P][A],ADPA
997,1.237,1,D,1.235->1.237,FN,1.235,1.232->1.235,will,[A it] [D will] [P serve] [A master] [D right],aspectual,,,should be F,[A][D][P][A][D],ADPAD
307,1.3,2,D,1.29->1.30,FN,1.29,1.5->1.29,no longer,[A* unicorn] [D no longer] [S armed] [A [R with] [E a] [E mere] [C lance] ],"aspectual,negation","aspectual,negation",,,[A*][D][S][A],A*DSA
297,1.16,1,D,1.14->1.16,FN,1.14,1.1->1.14,let,[A I] [D let] [A it] [P wag],cause,,,,[A][D][A][P],ADAP
310,1.227,1,D,1.222->1.227,FN,1.222,1.218->1.222,made,[A* mold] [R that] [A time] [F has] [D gradually] [D made] [S smaller],cause,,,,[A*][R][A][F][D][D][S],A*ADDS
894,1.96,1,D,1.93->1.96,FN,1.93,1.91->1.93,let,[A Ned] [D just] [D let] [A me] [P talk],cause,,,,[A][D][D][A][P],ADDAP
62,1.36,3,D,1.23->1.36,FN,1.23,1.1->1.23,[C more] [N and] [C more],"[G thanks to it] [U ,] [A [A IMPLICIT] [P travel] [A [R between] [E the] [E various] [C continents] ] ] [F had] [D become] [D [C more] [N and] [C more] ] [S dangerous]",comparative,comparative,,,[G][U][A][F][D][D][S],ADDS
291,1.53,2,D,1.39->1.53,FN,1.39,1.1->1.39,[C less] [R than],[A [R That] [A [E a] [E private] [C individual] ] [F had] [A [E such] [E a] [C mechanism] ] [S at his disposal] ] [F was] [D [C less] [R than] ] [S probable],comparative,comparative,,,[A][F][D][S],ADS
302,1.35,1,D,1.32->1.35,FN,1.32,1.5->1.32,more,[A nothing] [F is] [D more] [S admissible],comparative,comparative,,,[A][F][D][S],ADS
307,1.13,1,D,1.10->1.13,FN,1.1,1.5->1.10,more,[A information] [D becomes] [D more] [S abundant],comparative,comparative,,,[A][D][D][S],ADDS
825,1.106,1,D,1.100->1.106,FN,1.1,1.88->1.100,most,[R for] [A [E the] [C world] [R 's] ] [D most] [S emotionless] [A man],comparative,comparative,,,[R][A][D][S][A],ADSA
827,1.114,3,D,1.110->1.114,FN,1.11,1.6->1.110,just the same,[A we] [F 're] [P going] [D just the same],comparative,comparative,,,[A][F][P][D],APD
837,1.33,1,D,1.32->1.33,FN,1.32,1.19->1.32,as,"[U ""] [A* We] [D as] [S comfortable] [D as] [A [S* comfortable] [A [E a] [E hermit] [C crab] ] [A [R inside] [E the] [C shell] [E [R of] [E a] [C whelk] [U .] [U ""] ] ] ]",comparative,comparative,,,[U][A*][D][S][D][A],A*DSDA
837,1.35,1,D,1.32->1.35,FN,1.32,1.19->1.32,as,"[U ""] [A* We] [D as] [S comfortable] [D as] [A [S* comfortable] [A [E a] [E hermit] [C crab] ] [A [R inside] [E the] [C shell] [E [R of] [E a] [C whelk] [U .] [U ""] ] ] ]",comparative,comparative,,,[U][A*][D][S][D][A],A*DSDA
889,1.17,1,D,1.16->1.17,FN,1.16,1.1->1.16,as,[D as] [S unsociable] [D as] [A Ned Land] [F was],comparative,comparative,,,[D][S][D][A][F,DSDA
889,1.19,1,D,1.16->1.19,FN,1.16,1.1->1.16,as,[D as] [S unsociable] [D as] [A Ned Land] [F was],comparative,comparative,,,[D][S][D][A][F,DSDA
894,1.41,1,D,1.33->1.41,FN,1.33,1.28->1.33,beyond,[R whose] [A depths] [T [R to] [E this] [C day] ] [F are] [D beyond] [P [E the] [C reach] ] [A [R of] [E human] [C eyes] ],comparative,comparative,,,[R][A][T][F][D][P][A],ADPA
899,1.148,1,D,1.146->1.148,FN,1.146,1.145->1.146,less,"[A* devilfish] [G Even] [D less] [S likely] [U ,] [G Ned]",comparative,comparative,,,[A*][G][D][S][U][G,A*DS
904,1.249,1,D,1.246->1.249,FN,1.246,1.26->1.246,tantamount,"[A IMPLICIT] [A* [A IMPLICIT] [F it] [P follows] [F that] [A [H [A [R at] [E 320] [C feet] [E down] ] [U ,] [A [E this] [C pressure] ] [F is] [S equal] [A [R to] [E ten] [C atmospheres] ] ] [U ,] [H [A* pressure] [S* equal] [A [R to] [E 100] [C atmospheres] ] [A [R at] [E 3,200] [C feet] ] ] [U ,] [L and] [H [A* pressure] [S* equal] [A [R to] [E 1,000] [C atmospheres] ] [A [R at] [E 32,000] [C feet] [U ,] [E [E that is] [U ,] [R at] [E about] [E [C two] [N and] [C [E a] [C half] ] ] [E vertical] [C leagues] [E down] ] ] ] ] ] [F is] [D tantamount] [F to] [P saying]",comparative,comparative,,,[A][A*][D][F][P],AA*DP
905,1.34,1,D,1.33->1.34,FN,1.33,1.30->1.33,As,[D As] [S many] [D as] [A that],comparative,comparative,,,[D][S][D][A],DSDA
905,1.36,1,D,1.33->1.36,FN,1.33,1.30->1.33,as,[D As] [S many] [D as] [A that],comparative,comparative,,,[D][S][D][A],DSDA
905,1.201,1,D,1.199->1.201,FN,1.199,1.195->1.199,more,[A* Ned] [D growing] [D more] [P interested],comparative,comparative,,,[A*][D][D][P],A*DDP
905,1.33,2,D,1.325->1.330,FN,1.325,1.224->1.325,[F as] [C flat],[A you] [D 'd] [F be] [P squashed] [D [F as] [C flat] ],comparative,"comparative, description",,,[A][D][F][P][D],ADPD
907,1.172,1,D,1.156->1.172,FN,1.156,1.141->1.156,as,"[A [C deep] [E [R in] [E the] [C sea] ] ] [U ,] [A [E such] [C animals] ] [D would] [D need] [F to] [F be] [D just] [D as] [S strong]",comparative,comparative,,,[A][U][A][D][D][F][F][D][D][S],AADDDDS
976,1.25,1,D,1.20->1.25,FN,1.2,1.17->1.20,least,[A IMPLICIT] [R from] [S [E the] ... [C attentive] ] [D least],comparative,comparative,,,[A][R][S][D],ASD
976,1.234,2,D,1.231->1.234,FN,1.231,1.228->1.231,as ever,[A* Conseil] [R as] [S stoic] [D as ever],comparative,"comparative, aspectual?",does 'ever' have an aspectual sense here maybe,,[A*][R][S][D],A*SD
976,1.265,1,D,1.261->1.265,FN,1.261,1.248->1.261,farther,"[A master] [F will] [P see] [D farther] [U !] [U ""]",comparative,"comparative, description",,,[A][F][P][D][U][U,APD
978,1.22,1,D,1.18->1.22,FN,1.18,1.11->1.18,most,[R under] [A [E the] ... [C conditions] ] [D most] [S favorable],comparative,comparative,,,[R][A][D][S],ADS
985,1.85,1,D,1.82->1.85,FN,1.82,1.1->1.82,more,[A* crew] [D grew] [D steadily] [D more] [P furious],comparative,comparative,,,[A*][D][D][D][P],A*DDDP
986,1.39,1,D,1.38->1.39,FN,1.38,1.36->1.38,most,[D most] [S energetic] [A* opponents],comparative,comparative,,,[D][S][A*,DSA*
826,1.352,1,D,1.350->1.352,FN,1.35,1.347->1.350,less,[A* route] [D slightly] [D less] [S direct],"comparative,degree",comparative,just comparative,,[A*][D][D][S],A*DDS
886,1.43,4,D,1.28->1.43,FN,1.28,1.1->1.28,[R to] [E a] [E high] [C degree],"[A [E [C Dexterity] [U ,] [C coolness] [U ,] [C bravery] [U ,] [N and] [C cunning] ] ... [C virtues] ] [F were] ... [A he] [P possessed] [D [R to] [E a] [E high] [C degree] ]","comparative,degree",degree,"this is mistake in the original, should just be Degree",,[A][F][A][P][D],AAPD
908,1.73,2,D,1.64->1.73,FN,1.64,1.59->1.64,[E more] [C emphatically],[A [A [E a] [C hole] [R 's] ] [S existence] ] [D can] [F be] [D [E more] [C emphatically] ] [P proven],"comparative,degree",,,,[A][D][F][D][P],ADDP
825,1.79,3,D,1.72->1.79,FN,1.72,1.69->1.72,[R as] [C easily] [R as],[A* animal] [R that] [D could] [P sink] [A [E a] [C frigate] ] [D [R as] [C easily] [R as] ] [A [E a] [E walnut] [C shell] ],"comparative,description",,,,[A*][R][D][P][A][D][A],A*DPADA
884,1.4,1,D,1.31->1.40,FN,1.31,1.1->1.31,better,[A IMPLICIT] [D No] [A [E whaling] [C vessel] ] [D could] [F have] [F been] [D better] [S armed],"comparative,description",,,,[A][D][A][D][F][F][D][S],ADADDS
980,1.147,2,D,1.142->1.147,FN,1.142,1.3->1.142,[E even] [C better],"[G professor] [U ,] [A you] [P know] [D [E even] [C better] ] [A [R than] [C I] ] [A [R that] [A nature] [F does] [D n't] [P violate] [A [E good] [C sense] ] ]","comparative,description",,,,[G][U][A][P][D][A][A],APDAA
982,1.58,2,D,1.51->1.58,FN,1.51,1.1->1.51,[E more] [C decisive],[A [E the] [C frigate] ] [D took] [P [E a] ... [C heading] ] [D [E more] [C decisive] ] [D westward],"comparative,description",,,,[A][D][P][D][D],ADPDD
982,1.89,1,D,1.85->1.89,FN,1.85,1.83->1.85,best,[A IMPLICIT] [F it] [F was] [D best] [F to] [S stay] [A [R in] [E deep] [C waters] ],"comparative,description",,,,[A][F][F][D][F][S][A],ADSA
888,1.55,2,D,1.51->1.55,FN,1.51,1.1->1.51,[E no] [C better],[A I] [D can] [P do] [D [E no] [C better] ] [A [R than] [F to] [P compare] [A him] [A [R with] [E a] [E powerful] [C telescope] [E [A* telescope] [R that] [D could] [P double] [A [R as] [E a] [C cannon] [E [A* cannon] [T always] [D ready] [F to] [P fire] [U .] ] ] ] ] ],"comparative,negation",,,,[A][D][P][D][A],ADPDA
975,1.83,3,D,1.68->1.83,FN,1.68,1.60->1.68,[R by] [E fifty] [C percent],[A* [A those] [S with] [A [E nyctalopic] [C eyes] ] ] [R whose] [A [A* [A those] [S with] [A [E nyctalopic] [C eyes] ] ] [S ability] [A [A* [A those] [S with] [A [E nyctalopic] [C eyes] ] ] [F to] [P see] [A [R in] [E the] [C dark] ] ] ] [P increased] [A [E their] [C chances] ] [D [R by] [E fifty] [C percent] ],"comparative,quantity",,,,[A*[A][S][A]][R][A][P][A][D],A*ASAAPAD
56,1.6,5,D,1.59->1.60,FN,1.59,1.1->1.59,had it not been for,"[D had it not been for] [P [E the] [C shouts] ] [A [R of] [C crewmen] [E [R in] [E the] [C hold] ] [U ,] [E [A* crewmen] [R who] [P climbed] [A [R on] [C deck] ] ] ]","condition,negation",,,,[D][P][A],DPA
986,1.83,4,D,1.81->1.83,FN,1.81,1.1->1.81,had n't been for,[F it] [D had n't been for] [A [E Commander] [C Farragut] [R 's] ] [D characteristic] [S stubbornness],"condition,negation",,,,[F][D][A][D][S],DADS
36,1.124,1,D,1.74->1.124,FN,1.74,1.1->1.74,extremely,"[A [C [C [C Traders] [U ,] [C shipowners] [U ,] [C [C captains] [R of] [E vessels] ] [U ,] [C skippers] [U ,] [N and] [C [E master] [C mariners] ] ] [E [R from] [C [C Europe] [N and] [C America] ] ] ] [U ,] [C [E naval] [C officers] [E [R from] [E every] [C country] ] ] [U ,] [N and] [C [S at their heels] [A [E the] [E various] [E national] [C governments] [E [R on] [E these] [E two] [C continents] ] ] ] ] [U ,] [F were] [F all] [D extremely] [P disturbed] [A [R by] [E the] [C business] [U .] ]",degree,,,,[A][U][F][F][D][P][A],ADPA
37,1.45,1,D,1.44->1.45,FN,1.44,1.27->1.44,infinitely,[A* object] [D infinitely] [S [C bigger] [N and] [C faster] ] [A [R than] [E any] [C whale] [U .] ],degree,,,,[A*][D][S][A],A*DSA
38,1.22,2,D,1.2->1.22,FN,1.2,1.1->1.2,[E pretty] [C closely],"[A [E The] [E relevant] [C data] [E [R on] [E this] [C apparition] ] [U ,] [E [A* data] [R as] [P recorded] [A [R in] [E various] [C logbooks] ] ] ] [U ,] [P agreed] [D [E pretty] [C closely] ] [A [R as to] [C [C [E the] [C structure] [R of] [E [E the] [C [C object] [N or] [C creature] ] [E [E in] [C question] ] ] ] [U ,] [C [E its] [E unprecedented] [C speed] [R of] [E movement] ] [U ,] [C [E its] [E startling] [E locomotive] [C power] ] [U ,] [N and] [C [E the] [E unique] [C vitality] [E [A* vitality] [R with which] [A it] [G seemed] [F to] [F be] [S gifted] ] ] ] ]",degree,,,,[A][U][P][D][A],APDA
38,1.81,2,D,1.78->1.81,FN,1.78,1.1->1.78,in bulk,[A it] [P exceeded] [D in bulk] [A [E any] [C whale] [E [A* whale] [T previously] [P classified] [A [R by] [C science] ] ] ],degree,,,,[A][P][D][A],APDA
39,1.76,1,D,1.70->1.76,FN,1.7,1.2->1.70,greatly,[R that] [A [E this] [E phenomenal] [C creature] ] [D greatly] [P exceeded] [A [E the] [C dimensions] [R of] [E [C anything] [E [A* anything] [T then] [P known] [A [R to] [C ichthyologists] ] ] ] ],degree,,,,[R][A][D][P][A],ADPA
44,1.15,1,D,1.12->1.15,FN,1.12,1.9->1.12,profoundly,[A* reports] [R that] [F would] [D profoundly] [P affect] [A [E public] [C opinion] ],degree,,,,[A*][R][F][D][P][A],A*DPA
44,1.116,1,D,1.99->1.116,FN,1.99,1.1->1.99,deeply,"[A IMPLICIT] [A [E such] [E serious] [U ,] [E practical] [C countries] [R as] [E [C England] [U ,] [C America] [U ,] [N and] [C Germany] ] ] [F were] [D deeply] [P concerned] [U .]",degree,,,,[A][A][F][D][P][U,AADP
51,1.9,1,D,1.8->1.9,FN,1.8,1.4->1.8,extremely,[A* occurrence] [D extremely] [S serious] [A [R in] [C itself] ],degree,,,,[A*][D][S][A],A*DSA
51,1.91,1,D,1.87->1.91,FN,1.87,1.46->1.87,immense,[A IMPLICIT] [P [E an] ... [C uproar] [U .] ] [D immense],degree,,,,[A][P][D],APD
53,1.19,1,D,1.16->1.19,FN,1.16,1.1->1.16,fully,"[A everyone] [D can] [D fully] [P understand] [A [S [E the] [C importance] ] [A [R of] [E this] [E maritime] [E transportation] [C company] [U ,] [E [A* company] [S known] [A [E the] [C world] [R over] ] [A [A* company] [R for] [P [E its] ... [C management] ] [D shrewd] ] ] ] ]",degree,,,,[A][D][D][P][A],ADDPA
55,1.37,1,D,1.35->1.37,FN,1.35,1.1->1.35,scarcely,[A IMPLICIT] [A* collision] [D scarcely] [P noticeable] [D [F on] [E the] [C whole] ],degree,,,,[A][A*][D][P][D],AA*DPD
57,1.1,1,D,1.5->1.10,FN,1.5,1.1->1.5,quite,[A [E the] [C passengers] ] [F were] [D quite] [P frightened],degree,,,,[A][F][D][P],ADP
61,1.2,2,D,1.14->1.20,FN,1.14,1.11->1.14,all over,[R in] [P arousing] [A [E public] [C passions] ] [D all over] [T again],degree,,,,[R][P][A][D][T],PAD
62,1.55,3,D,1.51->1.55,FN,1.51,1.48->1.51,[R at] [E all] [C cost],"[A IMPLICIT] [R that] [U ,] [D [R at] [E all] [C cost] ] [U ,] [A [E the] [C seas] ] [F be] [P purged] [A [R of] [E this] [E [P fearsome] [A* cetacean] ] [C cetacean] [U .] ]",degree,,,,[A][R][U][D][U][A][F][P][A],ADAPA
287,1.5,1,D,1.2->1.5,FN,1.2,1.1->1.2,perfectly,"[A I] [F was] [D perfectly] [S abreast] [A [R of] [E this] [C question] [U ,] [E [A* question] [R which] [S was] [A [E the] [E big] [C news] [E [R of] [E the] [C day] ] ] ] ]",degree,,,,[A][F][D][S][A],ADSA
287,1.26,1,D,1.25->1.26,FN,1.25,1.1->1.25,how,[D how] [S could] [A I] [D not] [F have] [F been],degree,,,,[D][S][A][D][F][F,DSAD
288,1.47,1,D,1.20->1.47,FN,1.2,1.1->1.20,completely,"[A [E The] [C hypothesis] [E [R of] [C [C [E a] [E drifting] [C islet] ] [N or] [C [R* of] [E an] [E elusive] [C reef] ] ] ] [U ,] [E [A* hypothesis] [P put forward] [A [R by] [C people] [E [A* people] [D not quite] [S in their right minds] ] ] ] ] [U ,] [F was] [D completely] [P eliminated]",degree,,,,[A][U][F][D][P],ADP
290,1.5,1,D,1.4->1.5,FN,1.4,1.3->1.4,only,[D only] [D two] [D possible] [P solutions] [A [R to] [E the] [C question] ],degree,,,,[D][D][D][P][A],DDDPA
290,1.43,1,D,1.38->1.43,FN,1.38,1.35->1.38,colossal,[A [E a] [C monster] ] [R of] [D colossal] [S strength],degree,,,,[A][R][D][S],ADS
