sent_id	sentence	d-unit
20003020	The U.S. is one of the few industrialized nations that doesn't have a higher standard of regulation for the smooth, needle-like fibers such as crocidolite that are classified as amphobiles, according to Brooke T. Mossman, a professor of pathlogy at the University of Vermont College of Medicine.	n't
20003021	More common chrysotile fibers are curly and are more easily rejected by the body, Dr. Mossman explained.	easily more 
20003021	More common chrysotile fibers are curly and are more easily rejected by the body, Dr. Mossman explained.	More
20003022	In July, the Environmental Protection Agency imposed a gradual ban on virtually all uses of asbestos.	gradual
20003025	Areas of the factory were particularly dusty where the crocidolite was used.	particularly
20003026	Workers dumped large burlap sacks of the imported material into a huge bin, poured in cotton and acetate fibers and mechanically mixed the dry fibers in a process used to make filters.	mechanically
20003028	"There's no question that some of those workers and managers contracted asbestos-related diseases," said Darrell Phillips, vice president of human resources for Hollingsworth & Vose.	no
20003029	"But you have to recognize that these events took place 35 years ago.	ago 35 years . 
20003029	"But you have to recognize that these events took place 35 years ago.	haveto
20003030	It has no bearing on our work force today.	no
20004001	Yields on money-market mutual funds continued to slide, amid signs that portfolio managers expect further declines in interest rates.	continued
20004001	Yields on money-market mutual funds continued to slide, amid signs that portfolio managers expect further declines in interest rates.	further
20004002	The average seven-day compound yield of the 400 taxable funds tracked by IBC's Money Fund Report eased a fraction of a percentage point to 8.45% from 8.47% for the week ended Tuesday.	average
20004002	The average seven-day compound yield of the 400 taxable funds tracked by IBC's Money Fund Report eased a fraction of a percentage point to 8.45% from 8.47% for the week ended Tuesday.	week for the ended . week Tuesday 
20004004	Average maturity of the funds' investments lengthened by a day to 41 days, the longest since early August, according to Donoghue's.	day a by 
20004004	Average maturity of the funds' investments lengthened by a day to 41 days, the longest since early August, according to Donoghue's.	Average
20004005	Longer maturities are thought to indicate declining interest rates because they permit portfolio managers to retain relatively higher rates for a longer period.	relatively
20004005	Longer maturities are thought to indicate declining interest rates because they permit portfolio managers to retain relatively higher rates for a longer period.	thought
20004006	Shorter maturities are considered a sign of rising rates because portfolio managers can capture higher rates sooner.	can
20004007	The average maturity for funds open only to institutions, considered by some to be a stronger indicator because those managers watch the market closely, reached a high point for the year -- 33 days.	average
20004007	The average maturity for funds open only to institutions, considered by some to be a stronger indicator because those managers watch the market closely, reached a high point for the year -- 33 days.	closely
20004007	The average maturity for funds open only to institutions, considered by some to be a stronger indicator because those managers watch the market closely, reached a high point for the year -- 33 days.	only
20004008	Nevertheless, said Brenda Malizia Negus, editor of Money Fund Report, yields "may blip up again before they blip down" because of recent rises in short-term interest rates.	again
20004008	Nevertheless, said Brenda Malizia Negus, editor of Money Fund Report, yields "may blip up again before they blip down" because of recent rises in short-term interest rates.	may
20004009	The yield on six-month Treasury bills sold at Monday's auction, for example, rose to 8.04% from 7.90%.	example for 
20004010	Despite recent declines in yields, investors continue to pour cash into money funds.	continue
20004010	Despite recent declines in yields, investors continue to pour cash into money funds.	declines
20004011	Assets of the 400 taxable funds grew by $1.5 billion during the latest week, to $352.7 billion.	latest the week during 
20004012	Typically, money-fund yields beat comparable short-term investments because portfolio managers can vary maturities and go after the highest rates.	can
20004014	Dreyfus World-Wide Dollar, the top-yielding fund, had a seven-day compound yield of 9.37% during the latest week, down from 9.45% a week earlier.	the latest during week 
20004015	It invests heavily in dollar-denominated securities overseas and is currently waiving management fees, which boosts its yield.	heavily
20004016	The average seven-day simple yield of the 400 funds was 8.12%, down from 8.14%.	average
20004016	The average seven-day simple yield of the 400 funds was 8.12%, down from 8.14%.	simple
20004017	The 30-day simple yield fell to an average 8.19% from 8.22%; the 30-day compound yield slid to an average 8.53% from 8.56%.	simple
20008001	The federal government suspended sales of U.S. savings bonds because Congress hasn't lifted the ceiling on government debt.	n't
20008002	Until Congress acts, the government hasn't any authority to issue new debt obligations of any kind, the Treasury said.	n't
20008002	Until Congress acts, the government hasn't any authority to issue new debt obligations of any kind, the Treasury said.	of kind any 
20008002	Until Congress acts, the government hasn't any authority to issue new debt obligations of any kind, the Treasury said.	new
20008002	Until Congress acts, the government hasn't any authority to issue new debt obligations of any kind, the Treasury said.	any
20008005	The House has voted to raise the ceiling to $3.1 trillion, but the Senate isn't expected to act until next week at the earliest.	n't
20008006	The Treasury said the U.S. will default on Nov. 9 if Congress doesn't act by then.	n't
20008006	The Treasury said the U.S. will default on Nov. 9 if Congress doesn't act by then.	. by then 
20009003	Previously, Mr. Vitulli, 43 years old, was general marketing manager of Chrysler Corp.'s Chrysler division.	general
20010001	When it's time for their biannual powwow, the nation's manufacturing titans typically jet off to the sunny confines of resort towns like Boca Raton and Hot Springs.	typically
20010002	Not this year.	Not
20010007	For starters, the executives joined Mayor William H. Hudnut III for an evening of the Indianapolis Symphony Orchestra and a guest pianist-comedian Victor Borge.	For starters 
20010010	The governor couldn't make it, so the lieutenant governor welcomed the special guests.	n't
20010010	The governor couldn't make it, so the lieutenant governor welcomed the special guests.	could
20010011	A buffet breakfast was held in the museum, where food and drinks are banned to everyday visitors.	buffet
20010012	Then, in the guests' honor, the speedway hauled out four drivers, crews and even the official Indianapolis 500 announcer for a 10-lap exhibition race.	exhibition
20010013	After the race, Fortune 500 executives drooled like schoolboys over the cars and drivers.	schoolboys like 
20010015	Back downtown, the execs squeezed in a few meetings at the hotel before boarding the buses again.	a few 
20010015	Back downtown, the execs squeezed in a few meetings at the hotel before boarding the buses again.	again
20010017	Under the stars and moons of the renovated Indiana Roof ballroom, nine of the hottest chefs in town fed them Indiana duckling mousseline, lobster consomme, veal mignon and chocolate terrine with a raspberry sauce.	ballroom of Indiana Indiana renovated 
20010019	More than a few CEOs say the red-carpet treatment tempts them to return to a heartland city for future meetings.	red-carpet
20011002	Preliminary tallies by the Trade and Industry Ministry showed another trade deficit in October, the fifth monthly setback this year, casting a cloud on South Korea's export-oriented economy.	another
20011002	Preliminary tallies by the Trade and Industry Ministry showed another trade deficit in October, the fifth monthly setback this year, casting a cloud on South Korea's export-oriented economy.	in October 
20011002	Preliminary tallies by the Trade and Industry Ministry showed another trade deficit in October, the fifth monthly setback this year, casting a cloud on South Korea's export-oriented economy.	fifth
20011004	South Korea's economic boom, which began in 1986, stopped this year because of prolonged labor disputes, trade conflicts and sluggish exports.	sluggish
20011004	South Korea's economic boom, which began in 1986, stopped this year because of prolonged labor disputes, trade conflicts and sluggish exports.	began
20011006	Despite the gloomy forecast, South Korea has recorded a trade surplus of $71 million so far this year.	gloomy
20011007	From January to October, the nation's accumulated exports increased 4% from the same period last year to $50.45 billion.	accumulated
20011007	From January to October, the nation's accumulated exports increased 4% from the same period last year to $50.45 billion.	4 % 
20012002	The new ad plan from Newsweek, a unit of the Washington Post Co., is the second incentive plan the magazine has offered advertisers in three years.	second
20012004	Alan Spoon, recently named Newsweek president, said Newsweek's ad rates would increase 5% in January.	January . in 
20012004	Alan Spoon, recently named Newsweek president, said Newsweek's ad rates would increase 5% in January.	recently
20012004	Alan Spoon, recently named Newsweek president, said Newsweek's ad rates would increase 5% in January.	5 % 
